ID,OBS
"1239",0
"1240",0
"1241",0
"1242",0
"1243",0
"1244",0
"1245",0
"1246",0
"1247",0
"1248",2
"1249",2
"1250",1
"1251",0
"1252",0
"1253",0
"1254",0
"1255",0
"1256",0
"1257",0
"1258",0
"1259",0
"1260",0
"1261",0
"1262",0
"1263",0
"1264",0
"1265",0
"1266",0
"1267",0
"1268",0
"1269",0
"1270",0
"1271",0
"1272",0
"1273",0
"1274",0
"1275",0
"1276",0
"1277",1
"1278",0
"1279",0
"1280",0
"1281",0
"1282",0
"1283",0
"1284",0
"1285",0
"1286",0
"1287",0
"1288",0
"1289",1
"1290",0
"1291",0
"1292",0
"1293",0
"1294",2
"1295",2
"1296",0
"1297",2
"1298",1
"1299",0
"1300",0
"1301",0
"1302",0
"1303",0
"1304",0
"1305",0
"1306",0
"1307",0
"1308",0
"1309",0
"1310",0
"1311",0
"1312",0
"1313",0
"1314",0
"1315",0
"1316",0
"1317",0
"1318",0
"1319",0
"1320",0
"1321",0
"1322",0
"1323",0
"1324",0
"1325",0
"1326",0
"1327",0
"1328",0
"1329",0
"1330",2
"1331",2
"1332",2
"1333",0
"1334",0
"1335",1
"1336",0
"1337",0
"1338",0
"1339",0
"1340",0
"1341",0
"1342",0
"1343",0
"1344",0
"1345",0
"1346",0
"1347",0
"1348",0
"1349",0
"1350",0
"1351",0
"1352",0
"1353",0
"1354",0
"1355",0
"1356",0
"1357",0
"1358",0
"1359",0
"1360",0
"1361",0
"1362",0
"1363",0
"1364",0
"1365",0
"1366",0
"1367",0
"1368",0
"1369",0
"1370",0
"1371",0
"1372",0
"1373",1
"1374",0
"1375",0
"1376",3
"1377",3
"1378",2
"1379",1
"1380",2
"1381",5
"1382",3
"1383",0
"1384",0
"1385",0
"1386",0
"1387",0
"1388",0
"1389",0
"1390",0
"1391",0
"1392",0
"1393",0
"1394",0
"1395",0
"1396",0
"1397",0
"1398",5
"1400",0
"1401",0
"1402",0
"1403",0
"1404",0
"1405",0
"1406",4
"1407",0
"1408",0
"1409",0
"1410",4
"1411",2
"1412",3
"1413",3
"1414",1
"1415",0
"1416",0
"1417",0
"1418",0
"1419",6
"1420",8
"1421",1
"1422",0
"1423",1
"1424",2
"1425",3
"1426",0
"1427",0
"1428",0
"1429",0
"1430",0
"1431",0
"1432",0
"1433",3
"1434",3
"1435",2
"1436",1
"1437",4
"1438",0
"1439",0
"1440",0
"1441",0
"1442",0
"1443",0
"1444",1
"1445",2
"1446",1
"1447",0
"1448",2
"1449",7
"1450",3
"1451",2
"1452",10
"1453",5
"1454",0
"1455",0
"1456",0
"1457",0
"1458",0
"1459",0
"1460",0
"1461",0
"1462",0
"1463",0
"1464",0
"1465",0
"1466",0
"1467",7
"1468",6
"1469",3
"1470",4
"1471",5
"1472",6
"1473",1
"1474",2
"1475",0
"1476",0
"1477",0
"1478",0
"1479",0
"1480",0
"1481",0
"1482",0
"1483",0
"1484",0
"1485",4
"1486",1
"1487",1
"1488",2
"1489",1
"1490",1
"1491",3
"1492",2
"1493",5
"1494",3
"1495",2
"1496",3
"1497",3
"1498",0
"1499",0
"1500",0
"1501",0
"1502",3
"1503",2
"1504",0
"1505",1
"1506",0
"1507",1
"1508",0
"1509",2
"1510",2
"1511",3
"1512",3
"1513",1
"1514",2
"1515",1
"1516",3
"1517",1
"1518",1
"1519",1
"1520",0
"1521",0
"1522",0
"1523",0
"1524",2
"1525",0
"1526",0
"1527",0
"1528",0
"1529",0
"1530",1
"1531",1
"1532",2
"1533",4
"1534",2
"1535",6
"1536",2
"1537",6
"1538",3
"1539",6
"1540",6
"1541",0
"1542",0
"1543",0
"1544",0
"1545",0
"1546",0
"1547",0
"1548",0
"1549",6
"1550",3
"1551",4
"1552",2
"1553",0
"1554",0
"1555",0
"1556",0
"1557",0
"1558",0
"1559",0
"1560",0
"1561",0
"1562",0
"1563",0
"1564",0
"1565",0
"1566",2
"1567",3
"1568",2
"1569",0
"1570",0
"1571",0
"1572",0
"1573",0
"1574",0
"1575",0
"1576",3
"1577",2
"1578",2
"1579",2
"1580",3
"1581",1
"1582",3
"1583",2
"1584",2
"1585",2
"1586",2
"1587",2
"1588",2
"1589",0
"1590",0
"1591",0
"1592",0
"1593",1
"1594",0
"1595",3
"1596",2
"1597",0
"1598",0
"1599",2
"1600",0
"1601",0
"1602",0
"1603",0
"1604",0
"1605",0
"1606",0
"1607",1
"1608",0
"1609",0
"1610",0
"1611",0
"1612",0
"1613",1
"1614",0
"1615",0
"1616",0
"1617",0
"1618",0
"1619",0
"1620",0
"1621",0
"1622",0
"1623",6
"1624",6
"1625",6
"1626",6
"1627",6
"1628",4
"1629",1
"1630",5
"1631",9
"1632",7
"1633",9
"1634",1
"1635",2
"1636",3
"1637",0
"1638",3
"1639",2
"1640",3
"1641",2
"1642",1
"1643",3
"1644",11
"1645",4
"1646",4
"1647",3
"1648",4
"1649",4
"1650",7
"1651",14
"1652",18
"1653",23
"1654",17
"1655",13
"1656",10
"1657",11
"1658",14
"1659",3
"1660",2
"1661",0
"1662",3
"1663",2
"1664",5
"1665",2
"1666",3
"1667",4
"1668",5
"1669",8
"1670",12
"1671",8
"1672",3
"1673",1
"1674",2
"1675",3
"1676",7
"1677",3
"1678",1
"1679",4
"1680",3
"1681",3
"1682",0
"1683",5
"1684",1
"1685",3
"1686",2
"1687",1
"1688",2
"1689",4
"1690",9
"1691",6
"1692",5
"1693",9
"1694",10
"1695",0
"1696",9
"1697",2
"1698",1
"1699",1
"1700",3
"1701",1
"1702",5
"1703",2
"1704",2
"1705",5
"1706",11
"1707",15
"1708",6
"1709",2
"1710",5
"1711",3
"1712",1
"1713",6
"1714",3
"1715",3
"1716",4
"1717",4
"1718",2
"1719",1
"1720",4
"1721",2
"1722",5
"1723",8
"1724",6
"1725",4
"1726",3
"1727",7
"1728",6
"1729",0
"1730",2
"1731",2
"1732",1
"1733",2
"1734",2
"1735",3
"1736",0
"1737",4
"1738",6
"1739",7
"1740",3
"1741",9
"1742",0
"1743",2
"1744",2
"1745",0
"1746",3
"1747",8
"1748",6
"1749",7
"1750",7
"1751",7
"1752",2
"1753",2
"1754",7
"1755",5
"1756",1
"1757",11
"1758",5
"1759",3
"1760",0
"1761",4
"1762",4
"1763",4
"1764",4
"1766",9
"1767",3
"1768",2
"1769",4
"1770",0
"1771",4
"1772",4
"1773",3
"1774",6
"1775",6
"1776",8
"1777",7
"1778",7
"1779",4
"1780",3
"1781",1
"1782",1
"1783",2
"1784",2
"1785",1
"1786",4
"1787",0
"1788",0
"1789",7
"1790",13
"1791",1
"1792",7
"1793",7
"1794",3
"1795",0
"1796",2
"1797",0
"1798",0
"1799",0
"1800",0
"1801",0
"1802",0
"1803",0
"1804",0
"1805",0
"1806",0
"1807",1
"1808",0
"1809",0
"1810",0
"1811",0
"1812",0
"1813",0
"1814",0
"1815",2
"1816",2
"1817",5
"1818",5
